cuit,razon_social,fecha_hora_contrato_social,tipo_societario,fecha_hora_actualizacion,numero_inscripcion,dom_fiscal_provincia,dom_fiscal_localidad,dom_fiscal_calle,dom_fiscal_numero,dom_fiscal_piso,dom_fiscal_departamento,dom_fiscal_cp,dom_fiscal_estado_domicilio,dom_legal_provincia,dom_legal_localidad,dom_legal_calle,dom_legal_numero,dom_legal_piso,dom_legal_departamento,dom_legal_cp,dom_legal_estado_domicilio
30500004181,LA CONCORDIA CIA ARG DE SEGUROS S A,1942-03-31-00:00,SOCIEDAD ANONIMA,2024-02-22-13:39,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,CORDOBA AV.,323,,003, 1054,INEXISTENTE - DESCONOCIDO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,CORDOBA AVDA.,323,,003, 1054,NO CONFIRMADO
30500004327,S A BANCO POPULAR ARGENTINO,1927-07-18-00:00,SOCIEDAD ANONIMA,2024-01-01-09:51,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,FLORIDA,201,,, 1005,DECLARADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,FLORIDA,201,,, 1005,NO CONFIRMADO
30500004491,BANCO DE INTERCAMBIO REGIONAL S A,1998-01-03-00:00,SOCIEDAD ANONIMA,2024-02-22-13:47,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,SAENZ PEÑA R. PTE. AV.,938,09,, 1035,INEXISTENTE - DESCONOCIDO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,SAENZ PE#A ROQUE PTE,938,09,, 1329,NO CONFIRMADO
30500004637,BANCO POPULAR DE ROSARIO,1908-10-04-00:00,SOCIEDAD ANONIMA,2024-02-22-13:54,,SANTA FE,ROSARIO NORTE,SARMIENTO,898,,, 2000,NO CONFIRMADO,SANTA FE,ROSARIO,SARMIENTO,898,,, 2000,NO CONFIRMADO
30500004874,SCOTIA QUILMES S A (EN LIQUIDACION),1907-11-18-00:00,SOCIEDAD ANONIMA,2024-01-01-10:57,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,BOUCHARD AV.,557,,, 1106,DECLARADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,PERON JUAN TTE.GRAL.,564,03,, 1038,NO CONFIRMADO
30500005242,LA CONTINENTAL COMPA#IA DE SEGUROS GENERALES S A,1912-06-22-00:00,SOCIEDAD ANONIMA,2024-01-01-11:16,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,PELLEGRINI CARLOS,1069,4,, 1009,DECLARADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,PELLEGRINI CARLOS,1069,4,, 1009,DECLARADO
30500005625,CITIBANK N A,1901-01-01-10:43,SUCURSAL EMPRESA EXTRANJERA,2024-06-01-05:42,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,MITRE BARTOLOME,502,,, 1036,CONFIRMADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,BARTOLOME MITRE,502,,, 1036,NO CONFIRMADO
30500005862,BANK OF AMERICA N.A. OFICINA DE REPRESENTACION,1917-03-01-12:00,SOCIEDAD EXTRANJERA,2024-04-24-16:15,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,DELLA PAOLERA CARLOS M.,261,20,, 1001,DECLARADO POR INTERNET,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,DELLA PAOLERA CARLOS,261,20,, 1001,DECLARADO
30500006168,BANCO DEL INTERIOR Y BUENOS AIRES S/ LIQUIDACION,1959-04-01-00:00,SOCIEDAD ANONIMA,2024-01-29-08:06,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,RECONQUISTA,266,08,, 1003,NO CONFIRMADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,RECONQUISTA,266,08,, 1003,NO CONFIRMADO
30500006303,BANCO CREDITO PROVINCIAL S A,1941-02-12-00:00,SOCIEDAD ANONIMA,2024-01-01-09:29,,BUENOS AIRES,LA PLATA SUDESTE CALLE 50 AMBAS VEREDAS,50,615,,, 1900,NO CONFIRMADO,BUENOS AIRES,LA PLATA,50,615,,, 1900,NO CONFIRMADO
30500006540,NUEVO BANCO DE AZUL S A,1928-10-05-00:00,SOCIEDAD ANONIMA,2024-01-01-10:52,,BUENOS AIRES,AZUL,SAN MARTIN,549,,, 7300,INEXISTENTE - DESCONOCIDO,BUENOS AIRES,AZUL,SAN MARTIN,549,,, 7300,NO CONFIRMADO
30500006613,BANCO PATAGONIA SOCIEDAD ANONIMA,1939-08-29-00:00,SOCIEDAD ANONIMA,2024-02-14-21:58,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,DE MAYO AV.,701,24,, 1084,CONFIRMADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,DE MAYO AV.,701,24,, 1084,DECLARADO POR INTERNET
30500006788,ENTE RESIDUAL DEL BANCO PROVINCIA DE SANTAIGO DEL ESTERO,1901-01-01-00:00,SOCIEDAD DEL ESTADO,2022-06-14-18:56,,SANTIAGO DEL ESTERO,SANTIAGO DEL ESTERO,LIBERTAD,1919,,, 4200,CONFIRMADO,SANTIAGO DEL ESTERO,STGO.DEL ESTERO,LIBERTAD,1919,,, 4200,NO CONFIRMADO
30500007083,BANCO MONSERRAT SOCIEDAD ANONIMA,1927-12-03-00:00,SOCIEDAD ANONIMA,2024-02-22-13:54,,SANTA FE,ROSARIO,SAN LORENZO,1346,,, 2000,NO CONFIRMADO,SANTA FE,ROSARIO,SAN LORENZO,1346,,, 2000,NO CONFIRMADO
30500007229,BANCO DE CORONEL PRINGLES,1928-06-26-00:00,SOCIEDAD ANONIMA,2024-02-22-13:56,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,RECONQUISTA,266,,, 1003,DECLARADO,BUENOS AIRES,CNEL.PRINGLES,STEGMANN Y DORREGO,0,,, 7530,NO CONFIRMADO
30500007393,BANCO DI NAPOLI,1926-05-06-12:00,SOCIEDAD ANONIMA,2024-01-01-09:29,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,MITRE BARTOLOME,699,,, 1357,NO CONFIRMADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,MITRE BARTOLOME,699,,, 1357,NO CONFIRMADO
30500007466,BANCO COMERCIAL ISRAELITA S A,1921-04-10-00:00,SOCIEDAD ANONIMA,2022-07-02-06:20,,SANTA FE,ROSARIO NORTE,MITRE,702,,, 2000,NO CONFIRMADO,SANTA FE,ROSARIO,MITRE,702,,, 2000,NO CONFIRMADO
30500007539,MAPFRE ARGENTINA SEGUROS SOCIEDAD ANONIMA,1901-01-01-00:00,SOCIEDAD ANONIMA,2024-09-02-06:59,,BUENOS AIRES,MUNRO,ALFEREZ HIPOLITO BOUCHARD,4191,4,, 1605,DECLARADO POR INTERNET,BUENOS AIRES,MUNRO,ALFEREZ HIPOLITO BOUCHARD,4191,7,, 1605,DECLARADO POR INTERNET
30500007776,BANCO DE CORONEL DORREGO Y TRENQUE LAUQUEN S A,1926-07-26-00:00,SOCIEDAD ANONIMA,2024-02-22-13:58,,BUENOS AIRES,CORONEL DORREGO,AVDA JULIO A ROCA,699,,, 8150,NO CONFIRMADO,BUENOS AIRES,CORONEL DORREGO,AVDA JULIO A ROCA,699,,, 8150,NO CONFIRMADO
30500007849,S A BANCO EDIFICADOR DE TRENQUE    LAUQUEN,1926-04-01-00:00,SOCIEDAD ANONIMA,2024-02-22-13:50,,BUENOS AIRES,CORONEL DORREGO,AV JULIO A ROCA E HI,0,,, 8150,NO CONFIRMADO,BUENOS AIRES,CORONEL DORREGO,AV JULIO A ROCA E HI,0,,, 8150,NO CONFIRMADO
30500008071,BANCO DEL OESTE,1961-02-20-00:00,SOCIEDAD ANONIMA,2024-02-22-13:49,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,SAN MARTIN,128,01,, 1004,INEXISTENTE - DESCONOCIDO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,SAN MARTIN,128,01,, 1004,NO CONFIRMADO
30500008217,BELGRANO SOCIEDAD COOPERATIVA LIMITADA DE SEGUROS,1933-08-10-00:00,COOPERATIVA,2024-01-01-09:51,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,SAN JUAN AV.,2759,,, 1232,DECLARADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,AV SAN JUAN,2759,,, 1232,NO CONFIRMADO
30500008454,BANCO SANTANDER ARGENTINA SOCIEDAD ANONIMA,1989-09-11-12:00,SOCIEDAD ANONIMA,2024-09-11-18:45,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,GARAY JUAN DE AV.,151,,, 1063,DECLARADO POR INTERNET,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,GARAY JUAN DE AV.,151,,, 1063,DECLARADO
30500008527,BANCO DE MENDOZA S A,1901-01-01-00:00,SOCIEDAD ANONIMA,2024-02-22-13:41,,MENDOZA,MENDOZA,SAN MARTIN,1324,,, 5500,INEXISTENTE - DESCONOCIDO,MENDOZA,MENDOZA,SAN MARTIN,1324,,, 5500,NO CONFIRMADO
30500008691,BANCO DE ENTRE RIOS SOCIEDAD ANONIMA,1993-08-30-00:00,SOCIEDAD ANONIMA,2024-06-29-08:10,,ENTRE RIOS,PARANA,TUCUMAN,550,,, 3100,CONFIRMADO,ENTRE RIOS,PARANA,COLON,453,,, 3100,CONFIRMADO
30500008764,BANCO DE LA PROVINCIA DE JUJUY S A,1932-11-08-00:00,SOCIEDAD ANONIMA,2024-02-22-13:58,,JUJUY,SAN SALVADOR DE JUJUY,BELGRANO,566,,12, 4600,CONFIRMADO,JUJUY,SAN SALVADOR DE JUJUY,BELGRANO,566,,12, 4600,CONFIRMADO
30500008837,BANCO ESPA#OL DEL RIO DE LA PLATA LIMITADO,1935-12-28-00:00,SOCIEDAD ANONIMA,2022-06-14-18:56,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,RECONQUISTA,200,,, 1003,INEXISTENTE - DESCONOCIDO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,RECONQUISTA,200,,, 1003,CONFIRMADO
30500009205,BANCO COMERCIAL BS  AS  EN LIQUIDAC  JUDICIAL,1949-10-24-00:00,SOCIEDAD ANONIMA,2024-02-22-13:47,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,RECONQUISTA,266,08,, 1003,DECLARADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,RECONQUISTA,266,08,, 1003,NO CONFIRMADO
30500009442,BANCO DE SAN JUAN S. A.,1943-03-16-00:00,SOCIEDAD ANONIMA,2024-09-11-14:18,,SAN JUAN,SAN JUAN,AV IG DE LA ROZA OESTE,85,,, 5400,DECLARADO,SAN JUAN,SAN JUAN,AV IG DE LA ROZA OESTE,85,,, 5400,DECLARADO POR INTERNET
30500009515,BANCO DE CATAMARCA,1933-10-14-00:00,SOCIEDAD DEL ESTADO,2022-07-02-06:48,,CATAMARCA,SAN FERNANDO DEL VALLE DE CATAMARCA,REPUBLICA,480,,, 4700,NO CONFIRMADO,CATAMARCA,CATAMARCA,REPUBLICA,480,,, 4700,NO CONFIRMADO
